Well,Cq,Cq Mean,Cq Std. Dev,Sample,Primer
A01,19.4869045,19.5337308,0.14548589,EI_01,Gapdh
A02,19.4174241,19.5337308,0.14548589,EI_01,Gapdh
A03,19.6968637,19.5337308,0.14548589,EI_01,Gapdh
A04,31.8352934,31.8812968,0.03999906,EI_01,Nmnt
A05,31.9078606,31.8812968,0.03999906,EI_01,Nmnt
A06,31.9007365,31.8812968,0.03999906,EI_01,Nmnt
A07,23.9169968,23.8780752,0.05426142,EI_01,Nampt
A08,23.8160923,23.8780752,0.05426142,EI_01,Nampt
A09,23.9011367,23.8780752,0.05426142,EI_01,Nampt
A10,27.8380282,27.9618584,0.25256877,EI_01,Nnmat1
A11,27.7951022,27.9618584,0.25256877,EI_01,Nnmat1
A12,28.2524447,27.9618584,0.25256877,EI_01,Nnmat1
B01,19.5260191,19.6260824,0.1415109,EI_02,Gapdh
B02,NaN,0,0,EI_02,Gapdh
B03,19.7261457,19.6260824,0.1415109,EI_02,Gapdh
B04,31.0657866,31.1421907,0.13083065,EI_02,Nmnt
B05,31.0675278,31.1421907,0.13083065,EI_02,Nmnt
B06,31.2932575,31.1421907,0.13083065,EI_02,Nmnt
B07,23.8170666,23.718738,0.1136865,EI_02,Nampt
B08,23.5942528,23.718738,0.1136865,EI_02,Nampt
B09,23.7448946,23.718738,0.1136865,EI_02,Nampt
B10,27.2364054,27.441022,0.22838758,EI_02,Nnmat1
B11,27.3992471,27.441022,0.22838758,EI_02,Nnmat1
B12,27.6874134,27.441022,0.22838758,EI_02,Nnmat1
C01,18.5373477,18.5322959,0.10731823,EI_03,Gapdh
C02,18.422541,18.5322959,0.10731823,EI_03,Gapdh
C03,18.6369991,18.5322959,0.10731823,EI_03,Gapdh
C04,30.0283781,30.0207003,0.03948691,EI_03,Nmnt
C05,29.9779383,30.0207003,0.03948691,EI_03,Nmnt
C06,30.0557844,30.0207003,0.03948691,EI_03,Nmnt
C07,25.251966,24.6559323,0.51619034,EI_03,Nampt
C08,24.3611322,24.6559323,0.51619034,EI_03,Nampt
C09,24.3546987,24.6559323,0.51619034,EI_03,Nampt
C10,27.9015469,27.925525,0.02078526,EI_03,Nnmat1
C11,27.9366121,27.925525,0.02078526,EI_03,Nnmat1
C12,27.938416,27.925525,0.02078526,EI_03,Nnmat1
D01,19.6948401,19.5434525,0.32951041,EI_04,Gapdh
D02,19.7700639,19.5434525,0.32951041,EI_04,Gapdh
D03,19.1654535,19.5434525,0.32951041,EI_04,Gapdh
D04,31.3403451,31.3367443,0.00633848,EI_04,Nmnt
D05,31.3294256,31.3367443,0.00633848,EI_04,Nmnt
D06,31.3404623,31.3367443,0.00633848,EI_04,Nmnt
D07,24.058316,23.8827783,0.152332,EI_04,Nampt
D08,23.8047525,23.8827783,0.152332,EI_04,Nampt
D09,23.7852665,23.8827783,0.152332,EI_04,Nampt
D10,27.640112,27.6735077,0.03378157,EI_04,Nnmat1
D11,27.6727487,27.6735077,0.03378157,EI_04,Nnmat1
D12,27.7076624,27.6735077,0.03378157,EI_04,Nnmat1
E01,18.1314662,18.0860176,0.04666755,EI_05,Gapdh
E02,18.0382198,18.0860176,0.04666755,EI_05,Gapdh
E03,18.0883668,18.0860176,0.04666755,EI_05,Gapdh
E04,28.9212524,28.8194943,0.09203492,EI_05,Nmnt
E05,28.7951554,28.8194943,0.09203492,EI_05,Nmnt
E06,28.742075,28.8194943,0.09203492,EI_05,Nmnt
E07,23.4085219,23.180101,0.20254671,EI_05,Nampt
E08,23.0223811,23.180101,0.20254671,EI_05,Nampt
E09,23.1094,23.180101,0.20254671,EI_05,Nampt
E10,26.8439418,26.8913108,0.04636934,EI_05,Nnmat1
E11,26.8933793,26.8913108,0.04636934,EI_05,Nnmat1
E12,26.9366112,26.8913108,0.04636934,EI_05,Nnmat1
F01,19.7291186,19.6683431,0.05433583,EI_06,Gapdh
F02,19.651451,19.6683431,0.05433583,EI_06,Gapdh
F03,19.6244596,19.6683431,0.05433583,EI_06,Gapdh
F04,31.6065595,31.5755169,0.03342696,EI_06,Nmnt
F05,31.5401303,31.5755169,0.03342696,EI_06,Nmnt
F06,31.579861,31.5755169,0.03342696,EI_06,Nmnt
F07,24.2820442,24.3107774,0.02488371,EI_06,Nampt
F08,24.3251649,24.3107774,0.02488371,EI_06,Nampt
F09,24.3251231,24.3107774,0.02488371,EI_06,Nampt
F10,27.392283,27.399454,0.01230921,EI_06,Nnmat1
F11,27.3924118,27.399454,0.01230921,EI_06,Nnmat1
F12,27.4136673,27.399454,0.01230921,EI_06,Nnmat1
G01,21.7436056,21.76125,0.16944295,EI_07,Gapdh
G02,21.6013198,21.76125,0.16944295,EI_07,Gapdh
G03,21.9388248,21.76125,0.16944295,EI_07,Gapdh
G04,28.3435599,28.2601885,0.07443762,EI_07,Nmnt
G05,28.2003956,28.2601885,0.07443762,EI_07,Nmnt
G06,28.23661,28.2601885,0.07443762,EI_07,Nmnt
G07,25.0071326,24.8916325,0.10048655,EI_07,Nampt
G08,24.824273,24.8916325,0.10048655,EI_07,Nampt
G09,24.8434918,24.8916325,0.10048655,EI_07,Nampt
G10,28.3979433,28.3642475,0.03316548,EI_07,Nnmat1
G11,28.3316391,28.3642475,0.03316548,EI_07,Nnmat1
G12,28.3631601,28.3642475,0.03316548,EI_07,Nnmat1
H01,20.9906669,21.0521198,0.11562811,EI_08,Gapdh
H02,20.9801939,21.0521198,0.11562811,EI_08,Gapdh
H03,21.1854987,21.0521198,0.11562811,EI_08,Gapdh
H04,28.8112226,28.8058959,0.02093175,EI_08,Nmnt
H05,28.8236497,28.8058959,0.02093175,EI_08,Nmnt
H06,28.7828155,28.8058959,0.02093175,EI_08,Nmnt
H07,24.9550431,24.9248022,0.02894646,EI_08,Nampt
H08,24.8973523,24.9248022,0.02894646,EI_08,Nampt
H09,24.9220113,24.9248022,0.02894646,EI_08,Nampt
H10,28.5281224,28.6140283,0.13883802,EI_08,Nnmat1
H11,28.5397588,28.6140283,0.13883802,EI_08,Nnmat1
H12,28.7742038,28.6140283,0.13883802,EI_08,Nnmat1