sample_id,condition,treatment,sex,group
EI_01,affected,sham,F,Af_Sh
EI_02,affected,sham,F,Af_Sh
EI_03,affected,sham,F,Af_Sh
EI_04,affected,sham,M,Af_Sh
EI_05,affected,sham,M,Af_Sh
EI_06,affected,sham,M,Af_Sh
EI_07,affected,vancomycin,F,Af_Vanc
EI_08,affected,vancomycin,F,Af_Vanc
EI_09,affected,vancomycin,F,Af_Vanc
EI_10,affected,vancomycin,M,Af_Vanc
EI_11,affected,vancomycin,M,Af_Vanc
EI_12,affected,vancomycin,M,Af_Vanc
EI_13,unaffected,sham,F,Un_Sham
EI_14,unaffected,sham,F,Un_Sham
EI_15,unaffected,sham,F,Un_Sham
EI_16,unaffected,sham,M,Un_Sham
EI_17,unaffected,sham,M,Un_Sham
EI_18,unaffected,sham,M,Un_Sham
EI_19,unaffected,vancomycin,F,Un_Vanc
EI_20,unaffected,vancomycin,F,Un_Vanc
EI_21,unaffected,vancomycin,F,Un_Vanc
EI_22,unaffected,vancomycin,M,Un_Vanc
EI_23,unaffected,vancomycin,M,Un_Vanc
EI_24,unaffected,vancomycin,M,Un_Vanc